id,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
7xHATAMD7ezTZGYsNAMr5R,0.781,0.379,0,-6.147,0,0.0417,0.315,0.000162,0.401,0.327,77.567,147840,4,live
69daVl60U0WWueFAUSQFih,0.875,0.612,9,-6.981,1,0.0546,0.341,0.0062,0.951,0.413,150.093,185387,4,live
4gzSuZQoKUG3ztXErLlc0K,0.925,0.574,6,-5.955,0,0.0386,0.00108,0.00408,0.973,0.78,138.845,223707,4,live
0qYNU0d6q2797FZwc4HXoJ,0.907,0.463,1,-6.732,0,0.0889,0.065,5.86e-05,0.768,0.593,165.427,267373,4,live
7ajzjngqdDOXNaxP2GHz4C,0.911,0.599,6,-5.715,0,0.0367,0.00553,0.00439,0.561,0.382,121.911,252973,4,live
05ngn5qJ42mN6HEtrxuhI7,0.965,0.567,9,-5.46,0,0.0515,0.0407,5.08e-06,0.974,0.489,129.006,293347,4,live
4unD2O56RtWAMLuZLWTWbr,0.993,0.163,3,-3.6,1,0.142,0.000158,0.0868,0.722,0.16,175.122,178107,4,live
19dqbkqEgpgUZsh7FXftIs,0.951,0.644,7,-9.867,1,0.0406,0.108,0.0172,0.657,0.971,128.091,241360,4,live
1DJfcWfj5dSIzksFpnRr3S,0.967,0.562,9,-4.919,0,0.271,0.0496,7.37e-05,0.953,0.268,99.13,323733,4,live
5s457o0GLooprDJNitW5WF,0.967,0.352,1,-4.811,1,0.154,8.86e-05,0,0.547,0.127,144.717,233440,4,live
2NaUCbP0AWBrHdFFJUUqtm,0.852,0.728,10,-6.901,0,0.0526,0.288,0.00107,0.919,0.796,121.506,238253,4,live
27q9s4tbUeICc7ZtTBjhVa,0.975,0.397,9,-3.028,1,0.1,0.00418,0.0024,0.961,0.551,140.937,443613,4,live
0Wtn6dTfc7VINmUPPlUD2M,0.709,0.208,9,-4.755,1,0.0413,0.000396,4.47e-06,0.989,0.144,112.493,352693,4,live
2YBB6wEGDN7KLadjziMI2t,0.993,0.385,9,-3.29,0,0.12,0.101,0,0.878,0.283,139.014,201800,4,live
46PMWWtWuhO4XR1dpLFfbQ,0.65,0.441,1,-9.276,1,0.0463,0.156,1.35e-05,0.973,0.765,175.584,352514,4,live
469D319he5MJwDmfQwex2d,0.508,0.466,0,-8.202,1,0.0383,0.52,0.000202,0.185,0.215,123.791,228480,4,live
19afr7RQ7qhKvxvt97M6cT,0.889,0.622,2,-5.223,1,0.0536,0.084,3.42e-05,0.981,0.303,112.061,258293,4,live
6f9jreRXc0ukVPPY78x99v,0.482,0.352,0,-12.982,1,0.0355,0.337,0,0.71,0.467,66.496,234027,4,live
22GS42sYWeclo7oos5nCLF,0.961,0.566,0,-4.606,1,0.0522,0.029,0.00321,0.114,0.316,128.115,312360,4,live
58ScVStEQpu8v3V6CX7OGC,0.954,0.189,7,-6.888,1,0.0556,0.00053,0.454,0.984,0.436,177.542,307999,4,live
12Bmd7ivFxegvY9jmxTBCj,0.907,0.538,0,-8.221,1,0.0359,0.141,0.000123,0.796,0.264,114.073,233040,4,live
4suTnxUk7NktntcZYQjr4Y,0.941,0.349,2,-6.066,0,0.0711,0.0985,0.211,0.981,0.283,153.936,654307,4,live
32CRhXJiFnuzzE8SHTsttD,0.846,0.233,7,-5.939,1,0.0687,0.033,0.0719,0.486,0.135,129.046,406253,4,live
6qORtZtvR2dzbIYvhEi7fc,0.451,0.567,5,-17.533,1,0.116,0.585,0.000387,0.709,0.501,94.749,292173,4,live
1gqINx6sLwvhI80Kqradk6,0.804,0.211,10,-7.164,1,0.0698,0.51,2.38e-06,0.939,0.334,185.995,343520,3,live
3mRFAkpwqKEzelEkt825wl,0.597,0.438,10,-8.022,1,0.0288,0.375,0.000853,0.755,0.253,138.423,341893,4,live
3fvvEGsf1vHWwdLAlAZMjV,0.641,0.237,0,-5.282,1,0.049,0.297,1.86e-06,0.99,0.248,88.709,665547,4,live
71TP0CSwCtOXe0DrVJzBbp,0.645,0.347,4,-13.616,1,0.0585,0.0188,0.0872,0.753,0.519,149.997,358973,4,live
0TTP8QqUJVIpOepemCowza,0.811,0.452,2,-5.848,0,0.0375,0.0483,0.0787,0.933,0.216,110.931,556333,4,live
6qaT18OOeBbwRt4HQkCcHy,0.653,0.371,7,-12.591,1,0.324,0.71,0,0.959,0.276,146.36,527707,4,live
6TaVUwd1GxmOcR337FZM75,0.813,0.426,2,-13.972,1,0.0583,0.0805,0.00352,0.979,0.333,143.554,225267,4,live
3xomgJMEx9zfdH6fz05Tu8,0.975,0.204,4,-4.064,0,0.107,0.0547,0.000772,0.994,0.263,156.466,224667,4,live
2G14iMPXamWaQfhMaN4Y6M,0.894,0.189,5,-8.097,1,0.0681,0.203,0.0281,0.949,0.372,86.618,669693,4,live
1Y8DZ4PDIs1pnvSETfXlH4,0.859,0.318,2,-9.977,1,0.0737,0.264,0.00446,0.964,0.43,138.487,273760,4,live
5924F4dtwz1VZC5KnrSRoV,0.893,0.434,9,-10.337,0,0.149,0.00542,0.000534,0.704,0.196,159.475,268360,4,live
6enzzoijiW6b0lJmojDwRm,0.629,0.309,5,-4.012,1,0.0334,0.802,0,0.946,0.324,96.138,128040,4,live
7mlpU5ws8MuqGK3BAmg8K6,0.969,0.514,1,-2.633,1,0.0836,0.0713,0,0.957,0.525,115.922,301107,4,live
2f6p6clMMkRAsuGJEuF1uu,0.44,0.512,7,-15.67,1,0.0304,0.0956,0.000295,0.21,0.421,113.995,252380,4,live
2RGZD2vpT0nzoIATdNLCro,0.959,0.173,9,-5.074,1,0.0883,0.0153,0.0406,0.995,0.26,176.007,268173,4,live
6737CpK1JTuk9SyTm2wSgT,0.621,0.351,5,-10.961,0,0.052,0.0576,0.000121,0.305,0.354,71.761,289878,4,live
53Qyln3rDMZmS8ZQ06Zlq1,0.743,0.458,2,-8.877,1,0.0328,0.0217,0.284,0.403,0.176,99.381,289578,4,live
1Z0EacjbYRwuiU6erQb4WW,0.915,0.283,5,-5.716,1,0.0883,7.27e-05,0.000605,0.966,0.192,97.15,363173,4,live
2mYBPI3pr6Eu1FXz0yE8eD,0.803,0.276,9,-5.994,1,0.0389,0.00283,0,0.981,0.201,157.831,344693,3,live
5Mu7WviNvT9yJeF79V1HS5,0.982,0.491,2,-5.093,1,0.113,0.00552,0.0575,0.968,0.309,120.323,237200,4,live
1oeceuYGTTPrJSRHK7zhIG,0.772,0.149,11,-5.172,1,0.0459,0.0268,0.0252,0.984,0.117,76.049,749773,4,live
3pusYactqOeJHXP81bFHLe,0.814,0.489,7,-7.705,1,0.0323,0.0288,0.021,0.801,0.738,114.211,374533,4,live
3Xxruj2p3PpAJRBSeZRsmg,0.939,0.501,5,-3.512,0,0.0752,0.07,9.83e-05,0.842,0.511,121.866,110067,4,live
5gNrgptqVcOsWie1sLZssZ,0.789,0.398,10,-6.692,1,0.0429,0.00174,1.43e-05,0.287,0.349,92.02,299560,4,live
6dGn9cLfahl2bGbQNGCiI8,0.988,0.268,10,-3.539,0,0.195,2.77e-05,0.129,0.992,0.239,156.681,362267,4,live
6LIudS7VLqRA0GgzGQTiyt,0.879,0.334,9,-5.317,1,0.0625,0.000604,0.00342,0.985,0.321,106.371,310867,3,live
6t2kZyPwRGWtxlxN00M5Ch,0.57,0.398,5,-12.731,1,0.0301,0.187,9.42e-05,0.644,0.46,182.085,507040,4,live
1JLLDS0KN1ITeYL9ikHKIr,0.96,0.548,2,-4.017,0,0.0662,0.0162,0.0013,0.937,0.165,117.975,306827,4,live
78sSh7Y9VyLl17Z6KtVzGJ,0.935,0.485,5,-10.634,0,0.0701,2.81e-05,0.0125,0.986,0.436,117.027,306947,4,live
1RjcJB193Spyplmn53W5ZL,0.458,0.215,2,-13.011,1,0.0335,0.000306,0.162,0.614,0.187,114.073,528000,4,live
1ztEDPhRaoxQyZfYVrapM3,0.965,0.226,6,-3.494,0,0.0985,0.00264,0.44,0.685,0.118,108.728,315027,4,live
6L0uCWhXyBNncoDgfEvK1R,0.551,0.165,3,-7.62,1,0.0346,0.00264,0.242,0.477,0.181,140.52,300653,4,live
11R0Wyq7eaxXsWbxfO4Ge7,0.828,0.346,10,-6.512,0,0.0388,0.00263,2.97e-05,0.893,0.252,131.297,368120,4,live
52Ei7VWJ3D5d1AYZMXOCMl,0.413,0.492,1,-9.424,0,0.0267,0.323,8.03e-05,0.985,0.0601,96.159,471893,4,live
1Q4N1KctSE8Whoh55RK1E0,0.667,0.345,5,-6.234,0,0.0291,0.0819,0.00191,0.988,0.171,74.212,290867,4,live
4wgzNs0C3wYsYjOYr0FItD,0.575,0.376,5,-10.14,1,0.0339,0.172,1.41e-05,0.949,0.491,74.368,443481,4,live
